match_id,year,id,over,ball,runs,extras,extra_type,batter,batter_runs,batter_balls,batter_sr,nonstriker,nonstriker_runs,nonstriker_balls,nonstriker_sr,bowler,batter_out,wicket_type,team,team_code,innings_runs,innings_wickets,innings_balls
1185870,2019,119060,19.0,6.0,0.0,1.0,lb,Jonathan Carter,50,27,185.19,Ashley Nurse,19,15,126.67,Romario Shepherd,,,Barbados Tridents,BT,170.0,6,119.0
1185870,2019,119050,19.0,5.0,2.0,0.0,,Jonathan Carter,50,26,192.31,Ashley Nurse,19,15,126.67,Romario Shepherd,,,Barbados Tridents,BT,168.0,6,118.0
1185870,2019,119040,19.0,4.0,1.0,0.0,,Ashley Nurse,19,15,126.67,Jonathan Carter,48,25,192.0,Romario Shepherd,,,Barbados Tridents,BT,167.0,6,117.0
1185870,2019,119030,19.0,3.0,2.0,0.0,,Ashley Nurse,18,14,128.57,Jonathan Carter,48,25,192.0,Romario Shepherd,,,Barbados Tridents,BT,165.0,6,116.0
1185870,2019,119020,19.0,2.0,4.0,0.0,,Ashley Nurse,16,13,123.08,Jonathan Carter,48,25,192.0,Romario Shepherd,,,Barbados Tridents,BT,161.0,6,115.0
1185870,2019,119010,19.0,1.0,6.0,0.0,,Ashley Nurse,12,12,100.0,Jonathan Carter,48,25,192.0,Romario Shepherd,,,Barbados Tridents,BT,155.0,6,114.0
1185870,2019,118060,18.0,6.0,0.0,0.0,,Jonathan Carter,48,25,192.0,Ashley Nurse,6,11,54.55,Keemo Paul,,,Barbados Tridents,BT,155.0,6,113.0
1185870,2019,118050,18.0,5.0,6.0,0.0,,Jonathan Carter,48,24,200.0,Ashley Nurse,6,11,54.55,Keemo Paul,,,Barbados Tridents,BT,149.0,6,112.0
1185870,2019,118040,18.0,4.0,4.0,0.0,,Jonathan Carter,42,23,182.61,Ashley Nurse,6,11,54.55,Keemo Paul,,,Barbados Tridents,BT,145.0,6,111.0
1185870,2019,118030,18.0,3.0,0.0,0.0,,Jonathan Carter,38,22,172.73,Ashley Nurse,6,11,54.55,Keemo Paul,,,Barbados Tridents,BT,145.0,6,110.0
1185870,2019,118020,18.0,2.0,6.0,0.0,,Jonathan Carter,38,21,180.95,Ashley Nurse,6,11,54.55,Keemo Paul,,,Barbados Tridents,BT,139.0,6,109.0
1185870,2019,118010,18.0,1.0,1.0,0.0,,Ashley Nurse,6,11,54.55,Jonathan Carter,32,20,160.0,Keemo Paul,,,Barbados Tridents,BT,138.0,6,108.0
1185870,2019,117070,17.0,6.0,2.0,0.0,,Jonathan Carter,32,20,160.0,Ashley Nurse,5,10,50.0,Ben Laughlin,,,Barbados Tridents,BT,136.0,6,107.0
1185870,2019,117060,17.0,5.0,0.0,0.0,,Jonathan Carter,30,19,157.89,Ashley Nurse,5,10,50.0,Ben Laughlin,,,Barbados Tridents,BT,136.0,6,106.0
1185870,2019,117050,17.0,5.0,0.0,1.0,wd,Jonathan Carter,30,18,166.67,Ashley Nurse,5,10,50.0,Ben Laughlin,,,Barbados Tridents,BT,135.0,6,106.0
1185870,2019,117040,17.0,4.0,1.0,0.0,,Ashley Nurse,5,10,50.0,Jonathan Carter,30,18,166.67,Ben Laughlin,,,Barbados Tridents,BT,134.0,6,105.0
1185870,2019,117030,17.0,3.0,0.0,1.0,lb,Jonathan Carter,30,18,166.67,Ashley Nurse,4,9,44.44,Ben Laughlin,,,Barbados Tridents,BT,133.0,6,104.0
1185870,2019,117020,17.0,2.0,6.0,0.0,,Jonathan Carter,30,17,176.47,Ashley Nurse,4,9,44.44,Ben Laughlin,,,Barbados Tridents,BT,127.0,6,103.0
1185870,2019,117010,17.0,1.0,1.0,0.0,,Ashley Nurse,4,9,44.44,Jonathan Carter,24,16,150.0,Ben Laughlin,,,Barbados Tridents,BT,126.0,6,102.0
1185870,2019,116070,16.0,6.0,4.0,0.0,,Jonathan Carter,24,16,150.0,Ashley Nurse,3,8,37.5,Keemo Paul,,,Barbados Tridents,BT,122.0,6,101.0
1185870,2019,116060,16.0,5.0,1.0,0.0,,Ashley Nurse,3,8,37.5,Jonathan Carter,20,15,133.33,Keemo Paul,,,Barbados Tridents,BT,121.0,6,100.0
1185870,2019,116050,16.0,4.0,0.0,0.0,,Ashley Nurse,2,7,28.57,Jonathan Carter,20,15,133.33,Keemo Paul,,,Barbados Tridents,BT,121.0,6,99.0
1185870,2019,116040,16.0,3.0,0.0,0.0,,Ashley Nurse,2,6,33.33,Jonathan Carter,20,15,133.33,Keemo Paul,,,Barbados Tridents,BT,121.0,6,98.0
1185870,2019,116030,16.0,2.0,0.0,0.0,,Ashley Nurse,2,5,40.0,Jonathan Carter,20,15,133.33,Keemo Paul,,,Barbados Tridents,BT,121.0,6,97.0
1185870,2019,13060,3.0,6.0,1.0,0.0,,Alex Hales,23,17,135.29,Johnson Charles,9,7,128.57,Imran Tahir,,,Barbados Tridents,BT,33.0,0,23.0
1185870,2019,13050,3.0,5.0,6.0,0.0,,Alex Hales,22,16,137.5,Johnson Charles,9,7,128.57,Imran Tahir,,,Barbados Tridents,BT,27.0,0,22.0
1185870,2019,13040,3.0,4.0,0.0,1.0,lb,Johnson Charles,9,7,128.57,Alex Hales,16,15,106.67,Imran Tahir,,,Barbados Tridents,BT,26.0,0,21.0
1185870,2019,13030,3.0,3.0,1.0,0.0,,Alex Hales,16,15,106.67,Johnson Charles,9,6,150.0,Imran Tahir,,,Barbados Tridents,BT,25.0,0,20.0
1185870,2019,13020,3.0,2.0,0.0,0.0,,Alex Hales,15,14,107.14,Johnson Charles,9,6,150.0,Imran Tahir,,,Barbados Tridents,BT,25.0,0,19.0
1185870,2019,13010,3.0,1.0,1.0,0.0,,Johnson Charles,9,6,150.0,Alex Hales,15,13,115.38,Imran Tahir,,,Barbados Tridents,BT,24.0,0,18.0
1185870,2019,12070,2.0,6.0,0.0,0.0,,Alex Hales,15,13,115.38,Johnson Charles,8,5,160.0,Chris Green,,,Barbados Tridents,BT,24.0,0,17.0
1185870,2019,12060,2.0,5.0,2.0,0.0,,Alex Hales,15,12,125.0,Johnson Charles,8,5,160.0,Chris Green,,,Barbados Tridents,BT,22.0,0,16.0
1185870,2019,12050,2.0,4.0,1.0,0.0,,Johnson Charles,8,5,160.0,Alex Hales,13,11,118.18,Chris Green,,,Barbados Tridents,BT,21.0,0,15.0
1185870,2019,12040,2.0,3.0,1.0,0.0,,Alex Hales,13,11,118.18,Johnson Charles,7,4,175.0,Chris Green,,,Barbados Tridents,BT,20.0,0,14.0
1185870,2019,12030,2.0,2.0,1.0,0.0,,Johnson Charles,7,4,175.0,Alex Hales,12,10,120.0,Chris Green,,,Barbados Tridents,BT,19.0,0,13.0
1185870,2019,12020,2.0,1.0,4.0,0.0,,Johnson Charles,6,3,200.0,Alex Hales,12,10,120.0,Chris Green,,,Barbados Tridents,BT,15.0,0,12.0
1185870,2019,12010,2.0,1.0,0.0,1.0,wd,Johnson Charles,2,2,100.0,Alex Hales,12,10,120.0,Chris Green,,,Barbados Tridents,BT,14.0,0,12.0
1185870,2019,11060,1.0,6.0,4.0,0.0,,Alex Hales,12,10,120.0,Johnson Charles,2,2,100.0,Chandrapaul Hemraj,,,Barbados Tridents,BT,10.0,0,11.0
1185870,2019,11050,1.0,5.0,6.0,0.0,,Alex Hales,8,9,88.89,Johnson Charles,2,2,100.0,Chandrapaul Hemraj,,,Barbados Tridents,BT,4.0,0,10.0
1185870,2019,11040,1.0,4.0,0.0,0.0,,Alex Hales,2,8,25.0,Johnson Charles,2,2,100.0,Chandrapaul Hemraj,,,Barbados Tridents,BT,4.0,0,9.0
1185870,2019,11030,1.0,3.0,0.0,0.0,,Alex Hales,2,7,28.57,Johnson Charles,2,2,100.0,Chandrapaul Hemraj,,,Barbados Tridents,BT,4.0,0,8.0
1185870,2019,11020,1.0,2.0,0.0,0.0,,Alex Hales,2,6,33.33,Johnson Charles,2,2,100.0,Chandrapaul Hemraj,,,Barbados Tridents,BT,4.0,0,7.0
1185870,2019,11010,1.0,1.0,0.0,0.0,,Alex Hales,2,5,40.0,Johnson Charles,2,2,100.0,Chandrapaul Hemraj,,,Barbados Tridents,BT,4.0,0,6.0
1185870,2019,160,0.0,6.0,1.0,0.0,,Alex Hales,2,4,50.0,Johnson Charles,2,2,100.0,Chris Green,,,Barbados Tridents,BT,3.0,0,5.0
1185870,2019,150,0.0,5.0,0.0,0.0,,Alex Hales,1,3,33.33,Johnson Charles,2,2,100.0,Chris Green,,,Barbados Tridents,BT,3.0,0,4.0
1185870,2019,140,0.0,4.0,1.0,0.0,,Johnson Charles,2,2,100.0,Alex Hales,1,2,50.0,Chris Green,,,Barbados Tridents,BT,2.0,0,3.0
1185870,2019,130,0.0,3.0,1.0,0.0,,Alex Hales,1,2,50.0,Johnson Charles,1,1,100.0,Chris Green,,,Barbados Tridents,BT,1.0,0,2.0
1185870,2019,120,0.0,2.0,0.0,0.0,,Alex Hales,0,1,0.0,Johnson Charles,1,1,100.0,Chris Green,,,Barbados Tridents,BT,1.0,0,1.0
1185870,2019,110,0.0,1.0,1.0,0.0,,Johnson Charles,1,1,100.0,Alex Hales,0,0,,Chris Green,,,Barbados Tridents,BT,0.0,0,0.0
1185870,2019,18010,8.0,1.0,0.0,0.0,,Shai Hope,3,4,75.0,Johnson Charles,28,18,155.56,Chris Green,,,Barbados Tridents,BT,61.0,2,48.0
