match_id,year,id,over,ball,runs,extras,extra_type,batter,batter_runs,batter_balls,batter_sr,nonstriker,nonstriker_runs,nonstriker_balls,nonstriker_sr,bowler,batter_out,wicket_type,team,team_code,innings_runs,innings_wickets,innings_balls
1168853,2019,119060,19,6,0,0,,Daren Sammy,18,14,128.57,Chris Jordan,0,0,,Dwayne Bravo,DJG Sammy,DJG Sammy c Mohammad Nawaz b Bravo 18 (16b 2x4 0x6) SR: 112.50,Peshawar Zalmi,PZ,138,7,119
1168853,2019,119050,19,5,0,0,,Daren Sammy,18,14,128.57,Wahab Riaz,12,8,150.0,Dwayne Bravo,Wahab Riaz,Wahab Riaz run out (Mohammad Nawaz/Bravo) 12 (8b 1x4 0x6) SR: 150.00,Peshawar Zalmi,PZ,138,6,118
1168853,2019,119040,19,4,1,0,,Wahab Riaz,12,8,150.0,Daren Sammy,18,14,128.57,Dwayne Bravo,,,Peshawar Zalmi,PZ,137,6,117
1168853,2019,119030,19,3,1,0,,Daren Sammy,18,14,128.57,Wahab Riaz,11,7,157.14,Dwayne Bravo,,,Peshawar Zalmi,PZ,136,6,116
1168853,2019,119020,19,2,0,0,,Daren Sammy,17,13,130.77,Wahab Riaz,11,7,157.14,Dwayne Bravo,,,Peshawar Zalmi,PZ,136,6,115
1168853,2019,119010,19,1,1,0,,Wahab Riaz,11,7,157.14,Daren Sammy,17,12,141.67,Dwayne Bravo,,,Peshawar Zalmi,PZ,135,6,114
1168853,2019,118060,18,6,4,0,,Daren Sammy,17,12,141.67,Wahab Riaz,10,6,166.67,Mohammad Hasnain,,,Peshawar Zalmi,PZ,131,6,113
1168853,2019,118050,18,5,1,0,,Wahab Riaz,10,6,166.67,Daren Sammy,13,11,118.18,Mohammad Hasnain,,,Peshawar Zalmi,PZ,130,6,112
1168853,2019,118040,18,4,1,0,,Daren Sammy,13,11,118.18,Wahab Riaz,9,5,180.0,Mohammad Hasnain,,,Peshawar Zalmi,PZ,129,6,111
1168853,2019,118030,18,3,4,0,,Daren Sammy,12,10,120.0,Wahab Riaz,9,5,180.0,Mohammad Hasnain,,,Peshawar Zalmi,PZ,125,6,110
1168853,2019,118020,18,2,1,0,,Wahab Riaz,9,5,180.0,Daren Sammy,8,9,88.89,Mohammad Hasnain,,,Peshawar Zalmi,PZ,124,6,109
1168853,2019,118010,18,1,2,0,,Wahab Riaz,8,4,200.0,Daren Sammy,8,9,88.89,Mohammad Hasnain,,,Peshawar Zalmi,PZ,122,6,108
1168853,2019,117080,17,6,1,0,,Wahab Riaz,6,3,200.0,Daren Sammy,8,9,88.89,Sohail Tanvir,,,Peshawar Zalmi,PZ,121,6,107
1168853,2019,117070,17,5,4,0,,Wahab Riaz,5,2,250.0,Daren Sammy,8,9,88.89,Sohail Tanvir,,,Peshawar Zalmi,PZ,117,6,106
1168853,2019,117060,17,4,1,0,,Daren Sammy,8,9,88.89,Wahab Riaz,1,1,100.0,Sohail Tanvir,,,Peshawar Zalmi,PZ,116,6,105
1168853,2019,117050,17,4,0,1,wd,Daren Sammy,7,8,87.5,Wahab Riaz,1,1,100.0,Sohail Tanvir,,,Peshawar Zalmi,PZ,115,6,105
1168853,2019,117040,17,4,0,1,wd,Daren Sammy,7,8,87.5,Wahab Riaz,1,1,100.0,Sohail Tanvir,,,Peshawar Zalmi,PZ,114,6,105
1168853,2019,117030,17,3,2,0,,Daren Sammy,7,8,87.5,Wahab Riaz,1,1,100.0,Sohail Tanvir,,,Peshawar Zalmi,PZ,112,6,104
