match_id,venue,match_type,city,date,full_league,team_one,team_two,inn_one,inn_two,winner,margin,inn_one_score,inn_one_wickets,inn_two_score,inn_two_wickets
1229399,"Edgbaston, Birmingham",Final (N),Birmingham,2020-10-04,Vitality Blast,Surrey,Nottinghamshire,127/7,129/4,Nottinghamshire,6 wickets,127,7,129,4
1229398,"Edgbaston, Birmingham",2nd Semi Final,Birmingham,2020-10-04,Vitality Blast,Lancashire,Nottinghamshire,94/4,95/5,Nottinghamshire,5 wickets,94,4,95,5
1229397,"Edgbaston, Birmingham",1st Semi Final,Birmingham,2020-10-03,Vitality Blast,Gloucestershire,Surrey,73/7,74/4,Surrey,6 wickets,73,7,74,4
1207789,"Trent Bridge, Nottingham",1st Quarter Final (N),Nottingham,2020-10-01,Vitality Blast,Leicestershire,Nottinghamshire,139/7,139/7,,Super Over,139,7,139,7
1207788,"County Ground, Bristol",3rd Quarter Final,Bristol,2020-10-01,Vitality Blast,Northamptonshire,Gloucestershire,113,114/3,Gloucestershire,7 wickets,113,10,114,3
1229396,"County Ground, Hove",4th Quarter Final,Brighton,2020-10-01,Vitality Blast,Lancashire,Sussex,140/8,95,Lancashire,45 runs,140,8,95,10
1229395,"Kennington Oval, London",2nd Quarter Final,London,2020-10-01,Vitality Blast,Surrey,Kent,169/2,113/7,Surrey,56 runs,169,2,113,7
1207787,"County Ground, Bristol",Central Group,Bristol,2020-09-20,Vitality Blast,Somerset,Gloucestershire,161/7,163/8,Gloucestershire,2 wickets,161,7,163,8
1207786,"County Ground, Chelmsford",South Group,Chelmsford,2020-09-20,Vitality Blast,Essex,Sussex,136/9,137/6,Sussex,4 wickets,136,9,137,6
1207785,"Trent Bridge, Nottingham",North Group,Nottingham,2020-09-20,Vitality Blast,Nottinghamshire,Durham,150/6,132,Nottinghamshire,18 runs,150,6,132,10
1207784,"Old Trafford, Manchester",North Group,Manchester,2020-09-20,Vitality Blast,Leicestershire,Lancashire,154/5,132/5,Leicestershire,22 runs,154,5,132,5
1207783,"Headingley, Leeds",North Group,Leeds,2020-09-20,Vitality Blast,Derbyshire,Yorkshire,167/6,171/4,Yorkshire,6 wickets,167,6,171,4
1207782,"County Ground, New Road, Worcester",Central Group,Worcester,2020-09-20,Vitality Blast,Worcestershire,Glamorgan,190/3,196/4,Glamorgan,6 wickets,190,3,196,4
1207781,"Edgbaston, Birmingham",Central Group,Birmingham,2020-09-20,Vitality Blast,Birmingham Bears,Northamptonshire,191/5,193/7,Northamptonshire,3 wickets,191,5,193,7
1207780,"The Rose Bowl, Southampton",South Group,Southampton,2020-09-20,Vitality Blast,Hampshire,Middlesex,141/9,121,Hampshire,20 runs,141,9,121,10
1207779,"Kennington Oval, London",South Group,London,2020-09-20,Vitality Blast,Kent,Surrey,159/8,161/4,Surrey,6 wickets,159,8,161,4
1207775,"Sophia Gardens, Cardiff",Central Group (N),Cardiff,2020-09-18,Vitality Blast,Glamorgan,Gloucestershire,188/4,171/6,Glamorgan,17 runs,188,4,171,6
1207773,"Edgbaston, Birmingham",Central Group (N),Birmingham,2020-09-18,Vitality Blast,Birmingham Bears,Worcestershire,179/6,163/8,Birmingham Bears,16 runs,179,6,163,8
1207778,"Grace Road, Leicester",North Group (D/N),Leicester,2020-09-18,Vitality Blast,Nottinghamshire,Leicestershire,162/7,163/6,Leicestershire,4 wickets,162,7,163,6
1207774,"The Cooper Associates County Ground, Taunton",Central Group (D/N),Taunton,2020-09-18,Vitality Blast,Northamptonshire,Somerset,140/9,146/3,Somerset,7 wickets,140,9,146,3
1207776,"Old Trafford, Manchester",North Group (D/N),Manchester,2020-09-18,Vitality Blast,Durham,Lancashire,157/5,83,Durham,74 runs,157,5,83,10
1207777,"The Rose Bowl, Southampton",South Group,Southampton,2020-09-18,Vitality Blast,Hampshire,Surrey,138/8,143/1,Surrey,9 wickets,138,8,143,1
1207772,"County Ground, Hove",South Group,Brighton,2020-09-18,Vitality Blast,Middlesex,Sussex,155/8,158/7,Sussex,3 wickets,155,8,158,7
1207771,"St Lawrence Ground, Canterbury",South Group,Canterbury,2020-09-18,Vitality Blast,Essex,Kent,167/9,171/6,Kent,4 wickets,167,9,171,6
1207769,"Old Trafford, Manchester",North Group (N),Manchester,2020-09-17,Vitality Blast,Lancashire,Yorkshire,167/6,160/6,Lancashire,7 runs,167,6,160,6
1207770,"Trent Bridge, Nottingham",North Group (N),Nottingham,2020-09-17,Vitality Blast,Derbyshire,Nottinghamshire,142/8,143/2,Nottinghamshire,8 wickets,142,8,143,2
1207768,"Headingley, Leeds",North Group (N),Leeds,2020-09-16,Vitality Blast,Durham,Yorkshire,147,104,Durham,43 runs,147,10,104,10
1207767,"Kennington Oval, London",South Group (N),London,2020-09-16,Vitality Blast,Sussex,Surrey,165/7,167/6,Surrey,4 wickets,165,7,167,6
1207765,"Sophia Gardens, Cardiff",Central Group (N),Cardiff,2020-09-16,Vitality Blast,Somerset,Glamorgan,183/3,117,Somerset,66 runs,183,3,117,10
1207766,"St Lawrence Ground, Canterbury",South Group,Canterbury,2020-09-16,Vitality Blast,Middlesex,Kent,184/6,182/7,Middlesex,2 runs,184,6,182,7
