match_id,venue,match_type,city,date,full_league,team_one,team_two,inn_one,inn_two,winner,margin,inn_one_score,inn_one_wickets,inn_two_score,inn_two_wickets
857767,"Queen's Park Oval, Port of Spain, Trinidad",Final (D/N),Port of Spain,2015-07-26,Caribbean Premier League,Trinidad & Tobago Red Steel,Barbados Tridents,178/5,158/4,Trinidad & Tobago Red Steel,20 runs,178,5,158,4
857765,"Queen's Park Oval, Port of Spain, Trinidad",2nd Semi-Final,Port of Spain,2015-07-25,Caribbean Premier League,Guyana Amazon Warriors,Trinidad & Tobago Red Steel,108/9,109/4,Trinidad & Tobago Red Steel,6 wickets,108,9,109,4
857763,"Queen's Park Oval, Port of Spain, Trinidad",1st Semi-Final (N),Port of Spain,2015-07-23,Caribbean Premier League,Trinidad & Tobago Red Steel,Jamaica Tallawahs,152/6,125,Trinidad & Tobago Red Steel,27 runs,152,6,125,10
857761,"Providence Stadium, Guyana",30th Match (N),Providence,2015-07-21,Caribbean Premier League,Trinidad & Tobago Red Steel,Guyana Amazon Warriors,117/8,118/3,Guyana Amazon Warriors,7 wickets,117,8,118,3
857759,"Queen's Park Oval, Port of Spain, Trinidad",29th Match,Port of Spain,2015-07-19,Caribbean Premier League,Trinidad & Tobago Red Steel,Jamaica Tallawahs,145/3,138/9,Trinidad & Tobago Red Steel,7 runs,145,3,138,9
857757,"Providence Stadium, Guyana",28th Match,Providence,2015-07-18,Caribbean Premier League,Barbados Tridents,Guyana Amazon Warriors,125/9,111/6,Barbados Tridents,14 runs,125,9,111,6
857755,"Queen's Park Oval, Port of Spain, Trinidad",27th Match,Port of Spain,2015-07-18,Caribbean Premier League,Trinidad & Tobago Red Steel,St Kitts and Nevis Patriots,134/5,123/7,Trinidad & Tobago Red Steel,18 runs,134,5,123,7
857753,"Providence Stadium, Guyana",26th Match (N),Providence,2015-07-18,Caribbean Premier League,St Lucia Zouks,Guyana Amazon Warriors,111/7,112/7,Guyana Amazon Warriors,3 wickets,111,7,112,7
857751,"Queen's Park Oval, Port of Spain, Trinidad",25th Match (N),Port of Spain,2015-07-17,Caribbean Premier League,Trinidad & Tobago Red Steel,Barbados Tridents,184/3,112,Trinidad & Tobago Red Steel,72 runs,184,3,112,10
857749,"Providence Stadium, Guyana",24th Match (N),Providence,2015-07-15,Caribbean Premier League,Guyana Amazon Warriors,Jamaica Tallawahs,,,,,,,,
857747,"Queen's Park Oval, Port of Spain, Trinidad",23rd Match (N),Port of Spain,2015-07-14,Caribbean Premier League,Trinidad & Tobago Red Steel,St Lucia Zouks,90/4,91/6,St Lucia Zouks,4 wickets,90,4,91,6
857745,"Sabina Park, Kingston, Jamaica",22nd Match,Kingston,2015-07-12,Caribbean Premier League,Guyana Amazon Warriors,Jamaica Tallawahs,179/3,95,Guyana Amazon Warriors,84 runs,179,3,95,10
857743,"Sabina Park, Kingston, Jamaica",21st Match (N),Kingston,2015-07-11,Caribbean Premier League,Barbados Tridents,Jamaica Tallawahs,146/7,129/7,Barbados Tridents,17 runs,146,7,129,7
857741,"Warner Park, Basseterre, St Kitts",20th Match,Basseterre,2015-07-11,Caribbean Premier League,St Kitts and Nevis Patriots,Trinidad & Tobago Red Steel,146,148/4,Trinidad & Tobago Red Steel,6 wickets,146,10,148,4
857739,"Warner Park, Basseterre, St Kitts",19th Match (N),Basseterre,2015-07-11,Caribbean Premier League,St Kitts and Nevis Patriots,St Lucia Zouks,170/8,144/9,St Kitts and Nevis Patriots,26 runs,170,8,144,9
857737,"Sabina Park, Kingston, Jamaica",18th Match (N),Kingston,2015-07-09,Caribbean Premier League,Jamaica Tallawahs,Trinidad & Tobago Red Steel,180/6,130/9,Jamaica Tallawahs,50 runs,180,6,130,9
857735,"Warner Park, Basseterre, St Kitts",17th Match (N),Basseterre,2015-07-08,Caribbean Premier League,St Kitts and Nevis Patriots,Guyana Amazon Warriors,158/6,146/2,Guyana Amazon Warriors,23 runs,158,6,146,2
