match_id,venue,match_type,city,date,full_league,team_one,team_two,inn_one,inn_two,winner,margin,inn_one_score,inn_one_wickets,inn_two_score,inn_two_wickets
598073,"Eden Gardens, Kolkata",Final (N),Kolkata,2013-05-26,Indian Premier League,Mumbai Indians,Chennai Super Kings,148/9,125/9,Mumbai Indians,23 runs,148,9,125,9
598072,"Eden Gardens, Kolkata",Qualifier 2 (N),Kolkata,2013-05-24,Indian Premier League,Rajasthan Royals,Mumbai Indians,165/6,169/6,Mumbai Indians,4 wickets,165,6,169,6
598071,"Arun Jaitley Stadium, Delhi",Eliminator (N),Delhi,2013-05-22,Indian Premier League,Sunrisers Hyderabad,Rajasthan Royals,132/7,135/6,Rajasthan Royals,4 wickets,132,7,135,6
598070,"Arun Jaitley Stadium, Delhi",Qualifier 1 (N),Delhi,2013-05-21,Indian Premier League,Chennai Super Kings,Mumbai Indians,192/1,144,Chennai Super Kings,48 runs,192,1,144,10
598069,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",72nd match (N),Hyderabad,2013-05-19,Indian Premier League,Kolkata Knight Riders,Sunrisers Hyderabad,130/7,132/5,Sunrisers Hyderabad,5 wickets,130,7,132,5
598067,"Maharashtra Cricket Association Stadium, Pune",71st match (D/N),Pune,2013-05-19,Indian Premier League,Pune Warriors,Delhi Daredevils,172/5,134/9,Pune Warriors,38 runs,172,5,134,9
598068,"M.Chinnaswamy Stadium, Bengaluru",70th match (N),Bengaluru,2013-05-18,Indian Premier League,Royal Challengers Bangalore,Chennai Super Kings,106/2,82/6,Royal Challengers Bangalore,24 runs,106,2,82,6
598066,"Himachal Pradesh Cricket Association Stadium, Dharamsala",69th match (D/N),Dharamsala,2013-05-18,Indian Premier League,Kings XI Punjab,Mumbai Indians,183/8,133,Kings XI Punjab,50 runs,183,8,133,10
598065,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",68th match (N),Hyderabad,2013-05-17,Indian Premier League,Sunrisers Hyderabad,Rajasthan Royals,136/9,113/9,Sunrisers Hyderabad,23 runs,136,9,113,9
598028,"Himachal Pradesh Cricket Association Stadium, Dharamsala",67th match (N),Dharamsala,2013-05-16,Indian Premier League,Kings XI Punjab,Delhi Daredevils,171/4,164/7,Kings XI Punjab,7 runs,171,4,164,7
598063,"Wankhede Stadium, Mumbai",66th match (N),Mumbai,2013-05-15,Indian Premier League,Mumbai Indians,Rajasthan Royals,166/8,152/7,Mumbai Indians,14 runs,166,8,152,7
598061,"JSCA International Stadium Complex, Ranchi",65th match (D/N),Ranchi,2013-05-15,Indian Premier League,Pune Warriors,Kolkata Knight Riders,170/4,163/7,Pune Warriors,7 runs,170,4,163,7
598062,"MA Chidambaram Stadium, Chepauk, Chennai",64th match (N),Chennai,2013-05-14,Indian Premier League,Chennai Super Kings,Delhi Daredevils,168/4,135/9,Chennai Super Kings,33 runs,168,4,135,9
598045,"M.Chinnaswamy Stadium, Bengaluru",63rd match (D/N),Bengaluru,2013-05-14,Indian Premier League,Royal Challengers Bangalore,Kings XI Punjab,174/5,176/3,Kings XI Punjab,7 wickets,174,5,176,3
598060,"Wankhede Stadium, Mumbai",62nd match (N),Mumbai,2013-05-13,Indian Premier League,Sunrisers Hyderabad,Mumbai Indians,178/3,184/3,Mumbai Indians,7 wickets,178,3,184,3
598058,"Sawai Mansingh Stadium, Jaipur",61st match (N),Jaipur,2013-05-12,Indian Premier League,Chennai Super Kings,Rajasthan Royals,141/4,144/5,Rajasthan Royals,5 wickets,141,4,144,5
598057,"JSCA International Stadium Complex, Ranchi",60th match (D/N),Ranchi,2013-05-12,Indian Premier League,Royal Challengers Bangalore,Kolkata Knight Riders,115/9,116/5,Kolkata Knight Riders,5 wickets,115,9,116,5
598056,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",59th match (N),Chandigarh,2013-05-11,Indian Premier League,Sunrisers Hyderabad,Kings XI Punjab,150/7,120/9,Sunrisers Hyderabad,30 runs,150,7,120,9
598055,"Maharashtra Cricket Association Stadium, Pune",58th match (D/N),Pune,2013-05-11,Indian Premier League,Pune Warriors,Mumbai Indians,112/8,116/5,Mumbai Indians,5 wickets,112,8,116,5
598054,"Arun Jaitley Stadium, Delhi",57th match (N),Delhi,2013-05-10,Indian Premier League,Royal Challengers Bangalore,Delhi Daredevils,183/4,179/7,Royal Challengers Bangalore,4 runs,183,4,179,7
598053,"Maharashtra Cricket Association Stadium, Pune",56th match (N),Pune,2013-05-09,Indian Premier League,Kolkata Knight Riders,Pune Warriors,152/6,106,Kolkata Knight Riders,46 runs,152,6,106,10
598052,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",55th match (D/N),Chandigarh,2013-05-09,Indian Premier League,Kings XI Punjab,Rajasthan Royals,145/6,147/2,Rajasthan Royals,8 wickets,145,6,147,2
598051,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",54th match (N),Hyderabad,2013-05-08,Indian Premier League,Chennai Super Kings,Sunrisers Hyderabad,223/3,146/8,Chennai Super Kings,77 runs,223,3,146,8
598050,"Wankhede Stadium, Mumbai",53rd match (N),Mumbai,2013-05-07,Indian Premier League,Mumbai Indians,Kolkata Knight Riders,170/6,105,Mumbai Indians,65 runs,170,6,105,10
598049,"Sawai Mansingh Stadium, Jaipur",52nd match (D/N),Jaipur,2013-05-07,Indian Premier League,Delhi Daredevils,Rajasthan Royals,154/4,155/1,Rajasthan Royals,9 wickets,154,4,155,1
598064,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",51st match (N),Chandigarh,2013-05-06,Indian Premier League,Royal Challengers Bangalore,Kings XI Punjab,190/3,194/4,Kings XI Punjab,6 wickets,190,3,194,4
598047,"Sawai Mansingh Stadium, Jaipur",50th match (N),Jaipur,2013-05-05,Indian Premier League,Pune Warriors,Rajasthan Royals,178/4,182/5,Rajasthan Royals,5 wickets,178,4,182,5
598046,"Wankhede Stadium, Mumbai",49th match (D/N),Mumbai,2013-05-05,Indian Premier League,Mumbai Indians,Chennai Super Kings,139/5,79,Mumbai Indians,60 runs,139,5,79,10
598044,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",48th match (N),Hyderabad,2013-05-04,Indian Premier League,Delhi Daredevils,Sunrisers Hyderabad,80,81/4,Sunrisers Hyderabad,6 wickets,80,10,81,4
598043,"Eden Gardens, Kolkata",47th match (N),Kolkata,2013-05-03,Indian Premier League,Rajasthan Royals,Kolkata Knight Riders,132/6,133/2,Kolkata Knight Riders,8 wickets,132,6,133,2
598042,"Maharashtra Cricket Association Stadium, Pune",46th match (N),Pune,2013-05-02,Indian Premier League,Royal Challengers Bangalore,Pune Warriors,187/3,170/9,Royal Challengers Bangalore,17 runs,187,3,170,9
598041,"MA Chidambaram Stadium, Chepauk, Chennai",45th match (D/N),Chennai,2013-05-02,Indian Premier League,Chennai Super Kings,Kings XI Punjab,186/4,171/6,Chennai Super Kings,15 runs,186,4,171,6
598040,"Shaheed Veer Narayan Singh International Stadium, Raipur",44th match (N),Raipur,2013-05-01,Indian Premier League,Kolkata Knight Riders,Delhi Daredevils,136/7,137/3,Delhi Daredevils,7 wickets,136,7,137,3
598039,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",43rd match (D/N),Hyderabad,2013-05-01,Indian Premier League,Mumbai Indians,Sunrisers Hyderabad,129/4,130/3,Sunrisers Hyderabad,7 wickets,129,4,130,3
598038,"Maharashtra Cricket Association Stadium, Pune",42nd match (N),Pune,2013-04-30,Indian Premier League,Chennai Super Kings,Pune Warriors,164/3,127/9,Chennai Super Kings,37 runs,164,3,127,9
598037,"Wankhede Stadium, Mumbai",41st match (N),Mumbai,2013-04-29,Indian Premier League,Mumbai Indians,Kings XI Punjab,174/3,170,Mumbai Indians,4 runs,174,3,170,10
598036,"Sawai Mansingh Stadium, Jaipur",40th match (D/N),Jaipur,2013-04-29,Indian Premier League,Royal Challengers Bangalore,Rajasthan Royals,171/6,173/6,Rajasthan Royals,4 wickets,171,6,173,6
598035,"Shaheed Veer Narayan Singh International Stadium, Raipur",39th match (N),Raipur,2013-04-28,Indian Premier League,Delhi Daredevils,Pune Warriors,164/5,149/4,Delhi Daredevils,15 runs,164,5,149,4
598034,"MA Chidambaram Stadium, Chepauk, Chennai",38th match (D/N),Chennai,2013-04-28,Indian Premier League,Chennai Super Kings,Kolkata Knight Riders,200/3,186/4,Chennai Super Kings,14 runs,200,3,186,4
598033,"Wankhede Stadium, Mumbai",37th match (N),Mumbai,2013-04-27,Indian Premier League,Mumbai Indians,Royal Challengers Bangalore,194/7,136/7,Mumbai Indians,58 runs,194,7,136,7
