match_id,venue,match_type,city,date,full_league,team_one,team_two,inn_one,inn_two,winner,margin,inn_one_score,inn_one_wickets,inn_two_score,inn_two_wickets
959221,Dubai International Cricket Stadium,Final (N),Dubai,2016-02-23,Pakistan Super League,Quetta Gladiators,Islamabad United,174/7,175/4,Islamabad United,6 wickets,174,7,175,4
959219,Dubai International Cricket Stadium,3rd Qualifying Final (N),Dubai,2016-02-21,Pakistan Super League,Islamabad United,Peshawar Zalmi,176/3,126,Islamabad United,50 runs,176,3,126,10
959217,Dubai International Cricket Stadium,2nd Qualifying Final (N),Dubai,2016-02-20,Pakistan Super League,Karachi Kings,Islamabad United,111/9,115/1,Islamabad United,9 wickets,111,9,115,1
959215,Dubai International Cricket Stadium,1st Qualifying Final (N),Dubai,2016-02-19,Pakistan Super League,Quetta Gladiators,Peshawar Zalmi,133,132/9,Quetta Gladiators,1 run,133,10,132,9
959213,Dubai International Cricket Stadium,20th Match (N),Dubai,2016-02-17,Pakistan Super League,Lahore Qalandars,Islamabad United,150/5,151/5,Islamabad United,5 wickets,150,5,151,5
959211,Dubai International Cricket Stadium,19th Match (D/N),Dubai,2016-02-17,Pakistan Super League,Karachi Kings,Peshawar Zalmi,152/7,158/5,Peshawar Zalmi,5 wickets,152,7,158,5
959209,Dubai International Cricket Stadium,18th Match (N),Dubai,2016-02-16,Pakistan Super League,Lahore Qalandars,Quetta Gladiators,201/2,203/8,Quetta Gladiators,2 wickets,201,2,203,8
959207,Sharjah Cricket Stadium,17th Match (N),Sharjah,2016-02-14,Pakistan Super League,Quetta Gladiators,Peshawar Zalmi,129,130/2,Peshawar Zalmi,8 wickets,129,10,130,2
959205,Sharjah Cricket Stadium,16th Match (D/N),Sharjah,2016-02-14,Pakistan Super League,Karachi Kings,Islamabad United,128/5,131/5,Islamabad United,5 wickets,128,5,131,5
959203,Sharjah Cricket Stadium,15th Match (N),Sharjah,2016-02-13,Pakistan Super League,Lahore Qalandars,Peshawar Zalmi,164/3,160/7,Lahore Qalandars,4 runs,164,3,160,7
959201,Sharjah Cricket Stadium,14th Match (D/N),Sharjah,2016-02-13,Pakistan Super League,Karachi Kings,Quetta Gladiators,126/9,127/5,Quetta Gladiators,5 wickets,126,9,127,5
959199,Sharjah Cricket Stadium,13th Match (N),Sharjah,2016-02-12,Pakistan Super League,Islamabad United,Peshawar Zalmi,152/6,153/3,Peshawar Zalmi,7 wickets,152,6,153,3
959197,Sharjah Cricket Stadium,12th Match (D/N),Sharjah,2016-02-12,Pakistan Super League,Karachi Kings,Lahore Qalandars,178/5,151/8,Karachi Kings,27 runs,178,5,151,8
959195,Sharjah Cricket Stadium,11th Match (N),Sharjah,2016-02-11,Pakistan Super League,Islamabad United,Quetta Gladiators,117,118/3,Quetta Gladiators,7 wickets,117,10,118,3
959193,Sharjah Cricket Stadium,10th Match (D/N),Sharjah,2016-02-11,Pakistan Super League,Peshawar Zalmi,Karachi Kings,182/4,179/9,Peshawar Zalmi,3 runs,182,4,179,9
959191,Sharjah Cricket Stadium,9th Match (N),Sharjah,2016-02-10,Pakistan Super League,Lahore Qalandars,Islamabad United,166/6,169/2,Islamabad United,8 wickets,166,6,169,2
959189,Dubai International Cricket Stadium,8th Match (N),Dubai,2016-02-08,Pakistan Super League,Lahore Qalandars,Quetta Gladiators,194/3,131,Lahore Qalandars,63 runs,194,3,131,10
959187,Dubai International Cricket Stadium,7th Match (N),Dubai,2016-02-07,Pakistan Super League,Peshawar Zalmi,Quetta Gladiators,135/7,139/7,Quetta Gladiators,3 wickets,135,7,139,7
959185,Dubai International Cricket Stadium,6th Match (D/N),Dubai,2016-02-07,Pakistan Super League,Islamabad United,Karachi Kings,132/8,130/9,Islamabad United,2 runs,132,8,130,9
959183,Dubai International Cricket Stadium,5th Match (N),Dubai,2016-02-06,Pakistan Super League,Lahore Qalandars,Peshawar Zalmi,117/6,118/1,Peshawar Zalmi,9 wickets,117,6,118,1
959181,Dubai International Cricket Stadium,4th Match (D/N),Dubai,2016-02-06,Pakistan Super League,Karachi Kings,Quetta Gladiators,147/7,153/2,Quetta Gladiators,8 wickets,147,7,153,2
959179,Dubai International Cricket Stadium,3rd Match (N),Dubai,2016-02-05,Pakistan Super League,Peshawar Zalmi,Islamabad United,145/7,121/9,Peshawar Zalmi,24 runs,145,7,121,9
959177,Dubai International Cricket Stadium,2nd Match (D/N),Dubai,2016-02-05,Pakistan Super League,Lahore Qalandars,Karachi Kings,125/8,131/3,Karachi Kings,7 wickets,125,8,131,3
959175,Dubai International Cricket Stadium,1st Match (N),Dubai,2016-02-04,Pakistan Super League,Islamabad United,Quetta Gladiators,128/7,132/2,Quetta Gladiators,8 wickets,128,7,132,2
