name,overseas,withdrawn,role,keeper,batting_type,bowling_type,team,year,batting_hand,bowling_arm,bowling_speed,spin_type
Dale Benkenstein,False,False,,False,Right-hand bat,,Durham,2008,R,,,
Gareth Breese,False,False,,False,Right-hand bat,,Durham,2008,R,,,
Shivnarine Chanderpaul,False,False,Batsman,False,Left-hand bat,,Durham,2008,L,,,
Paul Collingwood,False,False,Allrounder,False,Right-hand bat,,Durham,2008,R,,,
Michael Di Venuto,False,False,Opening batsman,False,Left-hand bat,,Durham,2008,L,,,
Ben Harmison,False,False,,False,Left-hand bat,,Durham,2008,L,,,
Steve Harmison,False,False,,False,Right-hand bat,,Durham,2008,R,,,
Neil Killeen,False,False,,False,Right-hand bat,,Durham,2008,R,,,
Gordon Muchall,False,False,,False,Right-hand bat,,Durham,2008,R,,,
Phil Mustard,False,False,Wicketkeeper batsman,True,Left-hand bat,,Durham,2008,L,,,
Graham Onions,False,False,Bowler,False,Right-hand bat,,Durham,2008,R,,,
Garry Park,False,False,,False,Right-hand bat,,Durham,2008,R,,,
Liam Plunkett,False,False,Bowler,False,Right-hand bat,,Durham,2008,R,,,
Shaun Pollock,False,False,Allrounder,False,Right-hand bat,,Durham,2008,R,,,
Will Smith,False,False,,False,Right-hand bat,,Durham,2008,R,,,
Paul Wiseman,False,False,Bowler,False,Right-hand bat,,Durham,2008,R,,,
Mark Pettini,False,False,,False,Right-hand bat,,Essex,2008,R,,,
Ravi Bopara,False,False,Batting allrounder,False,Right-hand bat,,Essex,2008,R,,,
Maurice Chambers,False,False,,False,Right-hand bat,,Essex,2008,R,,,
Varun Chopra,False,False,Top-order batsman,False,Right-hand bat,,Essex,2008,R,,,
Danish Kaneria,False,False,,False,Right-hand bat,,Essex,2008,R,,,
Grant Flower,False,False,,False,Right-hand bat,,Essex,2008,R,,,
James Foster,False,False,,False,Right-hand bat,,Essex,2008,R,,,
Jason Gallian,False,False,Top-order batsman,False,Right-hand bat,,Essex,2008,R,,,
David Masters,False,False,,False,Right-hand bat,,Essex,2008,R,,,
James Middlebrook,False,False,,False,Right-hand bat,,Essex,2008,R,,,
Graham Napier,False,False,,False,Right-hand bat,,Essex,2008,R,,,
Tim Phillips,False,False,,False,Left-hand bat,,Essex,2008,L,,,
Ryan ten Doeschate,False,False,Allrounder,False,Right-hand bat,,Essex,2008,R,,,
Chris Wright,False,False,,False,Right-hand bat,,Essex,2008,R,,,
Chris Rogers,True,False,Opening batsman,False,Left-hand bat,,Derbyshire,2010,L,,,
Paul Borrington,False,False,,False,Right-hand bat,,Derbyshire,2010,R,,,
Loots Bosman,True,False,,False,Right-hand bat,,Derbyshire,2010,R,,,
Jonathan Clare,False,False,,False,Right-hand bat,,Derbyshire,2010,R,,,
Wes Durston,False,False,,False,Right-hand bat,,Derbyshire,2010,R,,,
Mark Footitt,False,False,,False,Right-hand bat,,Derbyshire,2010,R,,,
Lee Goddard,False,False,,False,Right-hand bat,,Derbyshire,2010,R,,,
Tim Groenewald,False,False,Bowler,False,Right-hand bat,,Derbyshire,2010,R,,,
Matt Higginbottom,False,False,,False,Left-hand bat,,Derbyshire,2010,L,,,
Chesney Hughes,False,False,,False,Left-hand bat,,Derbyshire,2010,L,,,
Ian Hunter,False,False,,False,Right-hand bat,,Derbyshire,2010,R,,,
Ed Jones,False,False,,False,Right-hand bat,,Derbyshire,2010,R,,,
Steffan Jones,False,False,,False,Right-hand bat,,Derbyshire,2010,R,,,
Charl Langeveldt,True,False,Bowler,False,Right-hand bat,,Derbyshire,2010,R,,,
Tom Lungley,False,False,,False,Left-hand bat,,Derbyshire,2010,L,,,
Wayne Madsen,False,False,Batsman,False,Right-hand bat,,Derbyshire,2010,R,,,
Jake Needham,False,False,,False,Right-hand bat,,Derbyshire,2010,R,,,
Garry Park,False,False,,False,Right-hand bat,,Derbyshire,2010,R,,,
Robin Peterson,False,False,Bowler,False,Left-hand bat,,Derbyshire,2010,L,,,
Tom Poynton,False,False,,False,Right-hand bat,,Derbyshire,2010,R,,,
Dan Redfern,False,False,,False,Left-hand bat,,Derbyshire,2010,L,,,
John Sadler,False,False,,False,Left-hand bat,,Derbyshire,2010,L,,,
Atif Sheikh,False,False,,False,Right-hand bat,,Derbyshire,2010,R,,,
