name,overseas,withdrawn,role,keeper,batting_type,bowling_type,team,year,batting_hand,bowling_arm,bowling_speed,spin_type
Marlon Samuels,False,False,Top-order batsman,False,Right-hand bat,spin,Antigua Hawksbills,2013,R,R,slow,os
Johnson Charles,False,False,Wicketkeeper batsman,True,Right-hand bat,,Antigua Hawksbills,2013,R,,,
Rahkeem Cornwall,False,False,Allrounder,False,Right-hand bat,spin,Antigua Hawksbills,2013,R,R,slow,os
Sheldon Cottrell,False,False,Bowler,False,Right-hand bat,seam,Antigua Hawksbills,2013,R,L,fast,
Jahmar Hamilton,False,False,Wicketkeeper batsman,True,Right-hand bat,,Antigua Hawksbills,2013,R,,,
Montcin Hodge,False,False,,False,Right-hand bat,spin,Antigua Hawksbills,2013,R,R,slow,os
Anthony Martin,False,False,Bowler,False,Right-hand bat,spin,Antigua Hawksbills,2013,R,R,slow,ls
Dave Mohammed,False,False,,False,Left-hand bat,spin,Antigua Hawksbills,2013,L,L,slow,lls
Orlando Peters,False,False,Allrounder,False,Right-hand bat,seam,Antigua Hawksbills,2013,R,R,med,
Ricky Ponting,False,False,Top-order batsman,False,Right-hand bat,seam,Antigua Hawksbills,2013,R,R,med,
Kieran Powell,False,False,Opening batsman,False,Left-hand bat,seam,Antigua Hawksbills,2013,L,R,med,
Kemar Roach,False,False,Bowler,False,Right-hand bat,seam,Antigua Hawksbills,2013,R,R,fast,
Ben Rohrer,False,False,Middle-order batsman,False,Left-hand bat,,Antigua Hawksbills,2013,L,,,
Devon Thomas,False,False,Top-order batsman,False,Right-hand bat,seam,Antigua Hawksbills,2013,R,R,med,
Gavin Tonge,False,False,Bowler,False,Right-hand bat,seam,Antigua Hawksbills,2013,R,R,fast,
Justin Kemp,False,True,,False,Right-hand bat,seam,Antigua Hawksbills,2013,R,R,fast,
Steven Smith,False,True,Middle-order batsman,False,Right-hand bat,spin,Antigua Hawksbills,2013,R,R,slow,ls
Kieron Pollard,False,False,Allrounder,False,Right-hand bat,seam,Barbados Tridents,2013,R,R,med,
Azhar Mahmood,False,False,,False,Right-hand bat,seam,Barbados Tridents,2013,R,R,fast,
Devendra Bishoo,False,False,Bowler,False,Left-hand bat,spin,Barbados Tridents,2013,L,R,slow,ls
Carlos Brathwaite,False,False,Allrounder,False,Right-hand bat,seam,Barbados Tridents,2013,R,R,fast,
Jonathan Carter,False,False,Batting allrounder,False,Left-hand bat,seam,Barbados Tridents,2013,L,R,med,
Kirk Edwards,False,False,Batsman,False,Right-hand bat,spin,Barbados Tridents,2013,R,R,slow,os
Rayad Emrit,False,False,Bowling allrounder,False,Right-hand bat,seam,Barbados Tridents,2013,R,R,med,
Shannon Gabriel,False,False,Bowler,False,Right-hand bat,seam,Barbados Tridents,2013,R,R,fast,
Jason Holder,False,False,Bowling allrounder,False,Right-hand bat,seam,Barbados Tridents,2013,R,R,med,
Kyle Mayers,False,False,Batting allrounder,False,Left-hand bat,seam,Barbados Tridents,2013,L,R,med,
Ashley Nurse,False,False,Bowler,False,Right-hand bat,spin,Barbados Tridents,2013,R,R,slow,os
Raymon Reifer,False,False,Allrounder,False,Left-hand bat,seam,Barbados Tridents,2013,L,L,med,
Shakib Al Hasan,False,False,Allrounder,False,Left-hand bat,spin,Barbados Tridents,2013,L,L,slow,sla
Shoaib Malik,False,False,Allrounder,False,Right-hand bat,spin,Barbados Tridents,2013,R,R,slow,os
Dwayne Smith,False,False,Allrounder,False,Right-hand bat,seam,Barbados Tridents,2013,R,R,med,
Umar Akmal,False,True,Middle-order batsman,False,Right-hand bat,spin,Barbados Tridents,2013,R,R,slow,os
Ramnaresh Sarwan,False,False,Batsman,False,Right-hand bat,spin,Guyana Amazon Warriors,2013,R,R,slow,ls
Chris Barnwell,False,False,Allrounder,False,Right-hand bat,seam,Guyana Amazon Warriors,2013,R,R,med,
Narsingh Deonarine,False,False,Batsman,False,Left-hand bat,spin,Guyana Amazon Warriors,2013,L,R,slow,os
Tillakaratne Dilshan,False,False,Allrounder,False,Right-hand bat,spin,Guyana Amazon Warriors,2013,R,R,slow,os
James Franklin,False,False,Allrounder,False,Left-hand bat,seam,Guyana Amazon Warriors,2013,L,L,med,
Trevon Griffith,False,False,Opening batsman,False,Left-hand bat,spin,Guyana Amazon Warriors,2013,L,R,slow,os
Steven Jacobs,False,False,Bowler,False,Right-hand bat,spin,Guyana Amazon Warriors,2013,R,R,slow,os
Keon Joseph,False,False,,False,Right-hand bat,seam,Guyana Amazon Warriors,2013,R,R,fast,
Lasith Malinga,False,False,Bowler,False,Right-hand bat,seam,Guyana Amazon Warriors,2013,R,R,fast,
Sunil Narine,False,False,Bowling allrounder,False,Left-hand bat,spin,Guyana Amazon Warriors,2013,L,R,slow,os
William Perkins,False,False,Wicketkeeper batsman,True,Right-hand bat,,Guyana Amazon Warriors,2013,R,,,
Veerasammy Permaul,False,False,Bowler,False,Right-hand bat,spin,Guyana Amazon Warriors,2013,R,L,slow,sla
Denesh Ramdin,False,False,Wicketkeeper batsman,True,Right-hand bat,,Guyana Amazon Warriors,2013,R,,,
Krishmar Santokie,False,False,Bowler,False,Left-hand bat,seam,Guyana Amazon Warriors,2013,L,L,med,
Lendl Simmons,False,False,Top-order batsman,False,Right-hand bat,seam,Guyana Amazon Warriors,2013,R,R,med,
Ronsford Beaton,False,True,Bowler,False,Right-hand bat,seam,Guyana Amazon Warriors,2013,R,R,fast,
Martin Guptill,False,True,Opening batsman,False,Right-hand bat,spin,Guyana Amazon Warriors,2013,R,R,slow,os
Mohammad Hafeez,False,True,Allrounder,False,Right-hand bat,spin,Guyana Amazon Warriors,2013,R,R,slow,os
Chris Gayle,False,False,Allrounder,False,Left-hand bat,spin,Jamaica Tallawahs,2013,L,R,slow,os
Carlton Baugh,False,False,Wicketkeeper,True,Right-hand bat,spin,Jamaica Tallawahs,2013,R,R,slow,ls
David Bernard,False,False,,False,Right-hand bat,seam,Jamaica Tallawahs,2013,R,R,med,
Jermaine Blackwood,False,False,Middle-order batsman,False,Right-hand bat,spin,Jamaica Tallawahs,2013,R,R,slow,os
Nkrumah Bonner,False,False,Allrounder,False,Right-hand bat,spin,Jamaica Tallawahs,2013,R,R,slow,ls
Akeem Dewar,False,False,,False,Right-hand bat,spin,Jamaica Tallawahs,2013,R,R,slow,ls
Danza Hyatt,False,False,Allrounder,False,Right-hand bat,seam,Jamaica Tallawahs,2013,R,R,med,
Nikita Miller,False,False,Bowler,False,Right-hand bat,spin,Jamaica Tallawahs,2013,R,L,slow,sla
Muttiah Muralitharan,False,False,Bowler,False,Right-hand bat,spin,Jamaica Tallawahs,2013,R,R,slow,os
Vernon Philander,False,False,Allrounder,False,Right-hand bat,seam,Jamaica Tallawahs,2013,R,R,fast,
Andrew Richardson,False,False,,False,Left-hand bat,seam,Jamaica Tallawahs,2013,L,R,fast,
Jacques Rudolph,False,False,,False,Left-hand bat,spin,Jamaica Tallawahs,2013,L,R,slow,ls
Andre Russell,False,False,Allrounder,False,Right-hand bat,seam,Jamaica Tallawahs,2013,R,R,fast,
Kumar Sangakkara,False,False,Wicketkeeper batsman,True,Left-hand bat,spin,Jamaica Tallawahs,2013,L,R,slow,os
Chadwick Walton,False,False,Top-order batsman,False,Right-hand bat,,Jamaica Tallawahs,2013,R,,,
Ahmed Shehzad,False,True,Opening batsman,False,Right-hand bat,spin,Jamaica Tallawahs,2013,R,R,slow,ls
Shaun Marsh,False,True,Top-order batsman,False,Left-hand bat,spin,Jamaica Tallawahs,2013,L,L,slow,sla
Ravi Rampaul,False,True,Bowler,False,Left-hand bat,seam,Jamaica Tallawahs,2013,L,R,fast,
Daren Sammy,False,False,Allrounder,False,Right-hand bat,seam,St Lucia Zouks,2013,R,R,med,
Tino Best,False,False,Bowler,False,Right-hand bat,seam,St Lucia Zouks,2013,R,R,fast,
Andre Fletcher,False,False,Top-order batsman,False,Right-hand bat,seam,St Lucia Zouks,2013,R,R,med,
Herschelle Gibbs,False,False,,False,Right-hand bat,other,St Lucia Zouks,2013,R,R,slow,
Kavem Hodge,False,False,Allrounder,False,Right-hand bat,spin,St Lucia Zouks,2013,R,L,slow,sla
Garey Mathurin,False,False,Allrounder,False,Left-hand bat,spin,St Lucia Zouks,2013,L,L,slow,sla
Misbah-ul-Haq,False,False,Middle-order batsman,False,Right-hand bat,spin,St Lucia Zouks,2013,R,R,slow,ls
Albie Morkel,False,False,Bowling allrounder,False,Left-hand bat,seam,St Lucia Zouks,2013,L,R,med,
Nelon Pascal,False,False,Bowler,False,Right-hand bat,seam,St Lucia Zouks,2013,R,R,fast,
Kenroy Peters,False,False,Batsman,False,Right-hand bat,seam,St Lucia Zouks,2013,R,L,med,
Dalton Polius,False,False,,False,Left-hand bat,spin,St Lucia Zouks,2013,L,R,slow,os
Liam Sebastien,False,False,Allrounder,False,Left-hand bat,spin,St Lucia Zouks,2013,L,R,slow,os
Shane Shillingford,False,False,Bowler,False,Right-hand bat,spin,St Lucia Zouks,2013,R,R,slow,os
Devon Smith,False,False,Opening batsman,False,Left-hand bat,spin,St Lucia Zouks,2013,L,R,slow,os
Tamim Iqbal,False,False,Opening batsman,False,Left-hand bat,,St Lucia Zouks,2013,L,,,
Shivnarine Chanderpaul,False,True,Batsman,False,Left-hand bat,spin,St Lucia Zouks,2013,L,R,slow,ls
Luke Pomersbach,False,True,Batsman,False,Left-hand bat,spin,St Lucia Zouks,2013,L,R,slow,os
Dwayne Bravo,False,False,Allrounder,False,Right-hand bat,seam,Trinidad & Tobago Red Steel,2013,R,R,med,
Samuel Badree,False,False,Bowler,False,Right-hand bat,spin,Trinidad & Tobago Red Steel,2013,R,R,slow,ls
Adrian Barath,False,False,Opening batsman,False,Right-hand bat,spin,Trinidad & Tobago Red Steel,2013,R,R,slow,os
Sulieman Benn,False,False,Bowler,False,Left-hand bat,spin,Trinidad & Tobago Red Steel,2013,L,L,slow,sla
Darren Bravo,False,False,Top-order batsman,False,Left-hand bat,seam,Trinidad & Tobago Red Steel,2013,L,R,med,
Yannic Cariah,False,False,Bowler,False,Left-hand bat,spin,Trinidad & Tobago Red Steel,2013,L,R,slow,ls
Kevon Cooper,False,False,Allrounder,False,Right-hand bat,seam,Trinidad & Tobago Red Steel,2013,R,R,med,
Miguel Cummins,False,False,Bowler,False,Left-hand bat,seam,Trinidad & Tobago Red Steel,2013,L,R,fast,
Fidel Edwards,False,False,Bowler,False,Right-hand bat,seam,Trinidad & Tobago Red Steel,2013,R,R,fast,
Justin Guillen,False,False,,False,Left-hand bat,spin,Trinidad & Tobago Red Steel,2013,L,R,slow,os
Mahela Jayawardene,False,False,Batsman,False,Right-hand bat,seam,Trinidad & Tobago Red Steel,2013,R,R,med,
Delorn Johnson,False,False,Bowler,False,Left-hand bat,seam,Trinidad & Tobago Red Steel,2013,L,L,fast,
Kevin O'Brien,False,False,Batting allrounder,False,Right-hand bat,seam,Trinidad & Tobago Red Steel,2013,R,R,med,
Nicholas Pooran,False,False,Wicketkeeper batsman,True,Left-hand bat,,Trinidad & Tobago Red Steel,2013,L,,,
Ross Taylor,False,False,Middle-order batsman,False,Right-hand bat,spin,Trinidad & Tobago Red Steel,2013,R,R,slow,os
Aaron Finch,False,True,Top-order batsman,False,Right-hand bat,spin,Trinidad & Tobago Red Steel,2013,R,L,slow,sla
Davy Jacobs,False,True,Wicketkeeper batsman,True,Right-hand bat,seam,Trinidad & Tobago Red Steel,2013,R,R,med,
Marlon Samuels,False,False,Top-order batsman,False,Right-hand bat,spin,Antigua Hawksbills,2014,R,R,slow,os
Justin Athanaze,False,False,,False,Right-hand bat,spin,Antigua Hawksbills,2014,R,R,slow,os
Carlos Brathwaite,False,False,Allrounder,False,Right-hand bat,seam,Antigua Hawksbills,2014,R,R,fast,
Rahkeem Cornwall,False,False,Allrounder,False,Right-hand bat,spin,Antigua Hawksbills,2014,R,R,slow,os
Sheldon Cottrell,False,False,Bowler,False,Right-hand bat,seam,Antigua Hawksbills,2014,R,L,fast,
Miguel Cummins,False,False,Bowler,False,Left-hand bat,seam,Antigua Hawksbills,2014,L,R,fast,
Ben Dunk,True,False,Wicketkeeper batsman,True,Left-hand bat,spin,Antigua Hawksbills,2014,L,R,slow,os
Brad Hogg,True,False,Allrounder,False,Left-hand bat,spin,Antigua Hawksbills,2014,L,L,slow,lls
David Hussey,True,False,Allrounder,False,Right-hand bat,spin,Antigua Hawksbills,2014,R,R,slow,os
Danza Hyatt,False,False,Allrounder,False,Right-hand bat,seam,Antigua Hawksbills,2014,R,R,med,
Ben Laughlin,True,False,Bowler,False,Right-hand bat,seam,Antigua Hawksbills,2014,R,R,fast,
Orlando Peters,False,False,Allrounder,False,Right-hand bat,seam,Antigua Hawksbills,2014,R,R,med,
Saeed Ajmal,False,False,Bowler,False,Right-hand bat,spin,Antigua Hawksbills,2014,R,R,slow,os
Devon Thomas,False,False,Top-order batsman,False,Right-hand bat,seam,Antigua Hawksbills,2014,R,R,med,
Shacaya Thomas,False,False,Middle-order batsman,False,Right-hand bat,,Antigua Hawksbills,2014,R,,,
Gavin Tonge,False,False,Bowler,False,Right-hand bat,seam,Antigua Hawksbills,2014,R,R,fast,
Thisara Perera,False,True,Bowling allrounder,False,Left-hand bat,seam,Antigua Hawksbills,2014,L,R,med,
Kieran Powell,False,True,Opening batsman,False,Left-hand bat,seam,Antigua Hawksbills,2014,L,R,med,
Kieron Pollard,False,False,Allrounder,False,Right-hand bat,seam,Barbados Tridents,2014,R,R,med,
Jonathan Carter,False,False,Batting allrounder,False,Left-hand bat,seam,Barbados Tridents,2014,L,R,med,
Shane Dowrich,False,False,Wicketkeeper batsman,True,Right-hand bat,,Barbados Tridents,2014,R,,,
Kirk Edwards,False,False,Batsman,False,Right-hand bat,spin,Barbados Tridents,2014,R,R,slow,os
Rayad Emrit,False,False,Bowling allrounder,False,Right-hand bat,seam,Barbados Tridents,2014,R,R,med,
Jason Holder,False,False,Bowling allrounder,False,Right-hand bat,seam,Barbados Tridents,2014,R,R,med,
Akeal Hosein,False,False,Bowler,False,Left-hand bat,spin,Barbados Tridents,2014,L,L,slow,sla
Neil McKenzie,False,False,,False,Right-hand bat,seam,Barbados Tridents,2014,R,R,med,
Kyle Mayers,False,False,Batting allrounder,False,Left-hand bat,seam,Barbados Tridents,2014,L,R,med,
Jeevan Mendis,False,False,Allrounder,False,Left-hand bat,spin,Barbados Tridents,2014,L,R,slow,ls
Ashley Nurse,False,False,Bowler,False,Right-hand bat,spin,Barbados Tridents,2014,R,R,slow,os
William Perkins,False,False,Wicketkeeper batsman,True,Right-hand bat,,Barbados Tridents,2014,R,,,
Ravi Rampaul,False,False,Bowler,False,Left-hand bat,seam,Barbados Tridents,2014,L,R,fast,
Raymon Reifer,False,False,Allrounder,False,Left-hand bat,seam,Barbados Tridents,2014,L,L,med,
Shoaib Malik,False,False,Allrounder,False,Right-hand bat,spin,Barbados Tridents,2014,R,R,slow,os
Dwayne Smith,False,False,Allrounder,False,Right-hand bat,seam,Barbados Tridents,2014,R,R,med,
Imran Nazir,False,True,,False,Right-hand bat,spin,Barbados Tridents,2014,R,R,slow,ls
Shakib Al Hasan,False,True,Allrounder,False,Left-hand bat,spin,Barbados Tridents,2014,L,L,slow,sla
Sunil Narine,False,False,Bowling allrounder,False,Left-hand bat,spin,Guyana Amazon Warriors,2014,L,R,slow,os
