name,overseas,withdrawn,role,keeper,batting,bowling,team,year,batting_hand,bowling_arm,bowling_speed,bowling_type,spin_type
MS Dhoni,False,False,Wicketkeeper batsman,True,Right-hand bat,Right-arm medium,Chennai Super Kings,2021,R,R,med,seam,
Moeen Ali,True,False,Batting allrounder,False,Left-hand bat,Right-arm offbreak,Chennai Super Kings,2021,L,R,slow,spin,os
KM Asif,False,False,Bowler,False,Right-hand bat,Right-arm medium,Chennai Super Kings,2021,R,R,med,seam,
Dwayne Bravo,True,False,Allrounder,False,Right-hand bat,Right-arm medium,Chennai Super Kings,2021,R,R,med,seam,
Deepak Chahar,False,False,Bowler,False,Right-hand bat,Right-arm medium,Chennai Super Kings,2021,R,R,med,seam,
Sam Curran,True,False,Allrounder,False,Left-hand bat,Left-arm medium-fast,Chennai Super Kings,2021,L,L,med,seam,
Faf du Plessis,True,False,Middle-order batsman,False,Right-hand bat,Legbreak,Chennai Super Kings,2021,R,R,slow,spin,ls
Ruturaj Gaikwad,False,False,Batsman,False,Right-hand bat,Right-arm offbreak,Chennai Super Kings,2021,R,R,slow,spin,os
Krishnappa Gowtham,False,False,Bowling allrounder,False,Right-hand bat,Right-arm offbreak,Chennai Super Kings,2021,R,R,slow,spin,os
Josh Hazlewood,True,False,Bowler,False,Left-hand bat,Right-arm fast-medium,Chennai Super Kings,2021,L,R,fast,seam,
Imran Tahir,True,False,Bowler,False,Right-hand bat,Legbreak googly,Chennai Super Kings,2021,R,R,slow,spin,ls
Ravindra Jadeja,False,False,Allrounder,False,Left-hand bat,Slow left-arm orthodox,Chennai Super Kings,2021,L,L,slow,spin,sla
Narayan Jagadeesan,False,False,Opening batsman,False,Right-hand bat,,Chennai Super Kings,2021,R,,,,
Lungi Ngidi,True,False,Bowler,False,Right-hand bat,Right-arm fast-medium,Chennai Super Kings,2021,R,R,fast,seam,
Cheteshwar Pujara,False,False,Top-order batsman,False,Right-hand bat,Legbreak,Chennai Super Kings,2021,R,R,slow,spin,ls
Suresh Raina,False,False,Middle-order batsman,False,Left-hand bat,Right-arm offbreak,Chennai Super Kings,2021,L,R,slow,spin,os
Ambati Rayudu,False,False,Middle-order batsman,False,Right-hand bat,Right-arm offbreak,Chennai Super Kings,2021,R,R,slow,spin,os
Harishankar Reddy,False,False,,False,Right-hand bat,Right-arm medium,Chennai Super Kings,2021,R,R,med,seam,
Mitchell Santner,True,False,Bowling allrounder,False,Left-hand bat,Slow left-arm orthodox,Chennai Super Kings,2021,L,L,slow,spin,sla
Karn Sharma,False,False,Bowler,False,Left-hand bat,Legbreak googly,Chennai Super Kings,2021,L,R,slow,spin,ls
Shardul Thakur,False,False,Bowler,False,Right-hand bat,Right-arm medium,Chennai Super Kings,2021,R,R,med,seam,
Robin Uthappa,False,False,Batsman,False,Right-hand bat,Right-arm medium,Chennai Super Kings,2021,R,R,med,seam,
Shreyas Iyer,False,False,Top-order batsman,False,Right-hand bat,Legbreak googly,Delhi Capitals,2021,R,R,slow,spin,ls
Ravichandran Ashwin,False,False,Bowling allrounder,False,Right-hand bat,Right-arm offbreak,Delhi Capitals,2021,R,R,slow,spin,os
Avesh Khan,False,False,Bowler,False,Right-hand bat,Right-arm medium-fast,Delhi Capitals,2021,R,R,med,seam,
Sam Billings,True,False,Wicketkeeper batsman,True,Right-hand bat,,Delhi Capitals,2021,R,,,,
Tom Curran,True,False,Bowling allrounder,False,Right-hand bat,Right-arm fast-medium,Delhi Capitals,2021,R,R,fast,seam,
Shikhar Dhawan,False,False,Opening batsman,False,Left-hand bat,Right-arm offbreak,Delhi Capitals,2021,L,R,slow,spin,os
Praveen Dubey,False,False,Bowler,False,Right-hand bat,Legbreak googly,Delhi Capitals,2021,R,R,slow,spin,ls
